start_date,recipient_last_name,recipient_first_name,corp_id,display_name,first_name,last_name,what_is_your_grade_level,would_you_like_to_be_a_mentor_or_a_mentee,would_you_prefer_a_mentee_within_your_business_unit_group,what_are_your_strongest_skills_please_choose_your_top_3,what_topics_are_you_knowledgeable_on_please_choose_your_top_3,which_expectations_can_you_help_fulfill_please_choose_your_top_3,do_you_prefer_2_2_or_would_you_be_comfortable_mentoring_more_than_one_person,would_you_consider_yourself_an_extrovert_or_an_introvert,which_personality_type_would_you_prefer_to_be_paired_with,which_of_the_following_best_describes_you_as_a_person,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentor_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here,would_you_prefer_a_mentor_with_your_current_job_role_or_one_above,what_skills_would_you_like_to_improve_please_choose_your_top_3,what_topics_are_you_interested_in_please_choose_your_top_3,what_are_your_expectations_for_this_program_please_choose_your_top_3,would_you_consider_yourself_an_extrovert_or_an_introvert_2,which_personality_type_would_you_prefer_to_be_paired_with_2,which_of_the_following_best_describes_you_as_a_person_2,please_tell_us_in_your_own_words_why_you_want_to_be_a_mentee_what_are_your_expectations_and_intended_outcomes_please_provide_a_detailed_response_of_3_4_sentences,are_there_any_special_considerations_that_you_would_like_known_when_your_application_is_reviewed_is_your_desire_to_participate_based_on_certain_criteria_that_you_have_in_mind_that_was_not_covered_in_the_previous_questions_please_list_that_information_here_2,affiliation_group,affiliation_unit,source_year
45771.37777777778,Last0837,First0837,CID0837,PERSON_0837,First0837,Last0837,Grade 4,Mentor,No preference,"termczn termeas/reviewguide termaqk,effortframe/termduz,termako/termcqa","termdks & learnsummary,termalt termctu,learnapproach","termdwn methodeffort futurefield termdhp,termcfe termdxu termalt termcnb,termdco termcyx",1 mentee,Extrovert,No preference,Creative / Explorer / Experimenter,"termdrb planpath growthguide , termbec termbck  termato termdql contextfield termcit termbna termdks. termdxu termbhr logicthread termdmh termcke termbev termbec futureview optionpath termdvx termdch termdxu termcfh termalg effortapproach termahp termbev termcto termbkw termbdc planwindow termaqc termbhr mentorview  termbqz termbec detailpath termbja.",reasonchoice/effortapproach,,,,,,,,,,Group 05,Unit 10,2025
45771.384722222225,Last0838,First0838,CID0838,PERSON_0838,First0838,Last0838,Grade 8,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,termako/termcqa","termdks & learnsummary,termcsi termbkc,termalt termctu","termclr contextshare,termdwn methodeffort futurefield termdhp,termcfe termdxu termalt termcnb",1 mentee,Introvert,No preference,Structured / Process-driven / Logical,termbec termadw learngroup termafg effortapproach termcsi termbev termdvx termdfc termcke leaderprocess termbqz termcsi learngroup termacu termdhh termdvx termdbl optiondialog termcmr termbyz. termbrg effortapproach termbrx termaly termdxu leaderfield termatz termdvx optiondialog termcmr termcsi.,termcpr.,,,,,,,,,,Group 06,Unit 07,2025
45771.37708333333,Last0839,First0839,CID0839,PERSON_0839,First0839,Last0839,Grade 8,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,practicewindow termcyx/termaud growthmatch","termalt termctu,termdge futureprofile,learnapproach","termclr contextshare,termcfe termdxu termalt termcnb,termdco termcyx",1 mentee,Introvert,No preference,Structured / Process-driven / Logical,termbyz effortgroup termagr termaql termbev termcyv termdzn termdgz termbed termark termbwl termaqc termblw termaqo termddb. termaqc termcfj termdvx termdch termdpc termdvx methodapproach termbzm termdki insightbridge effortgroup termagr termaqc reasonview termdxc termdvf termcko termdef termdvx termate termcqj futurethread. termbsh termcko termccc termaja termbec termcot termazi termeaa termdvx effortapproach termdgq termbbi.,reasonchoice/effortapproach,,,,,,,,,,Group 05,Unit 01,2025
45771.384722222225,Last0840,First0840,CID0840,PERSON_0840,First0840,Last0840,Grade 4,Mentor,No preference,"termbog/impactnetwork termdhg,termczn termeas/reviewguide termaqk,termako/termcqa","resultroute termdvr,termdzz termajf/skillmodel,learnapproach","termclr contextshare,termdwn methodeffort futurefield termdhp,termcay termdta-termahf termcyv termddb",2 mentees,Extrovert,No preference,Structured / Process-driven / Logical,"termbec futureview optionpath termdvx termagr effortapproach termbrx termdvx termagr termdpy termdvx termdhy termdzc termbwb contextfield termaqc termcch termchk termduv termdyl termcag termbev focuspoint termakf designfield. termbec termbiz termbyz termaly planfield termdvx termcto termbas termalg termdvp termblb termbqe termaly termblk termanz termaqo studyprocess termbev reviewshare futureview termagr effortapproach termaml termcfj leaderprocess termagm termdvx growthwindow changesummary termdvx termaqc termcsi. termbec termaoa termdvx termbwy termcqn termduv termcdj studychoice termduz termcnb, termbog termcnb, effortframe, termbev careereffort termdzc termdfn termajl termdvx termbga termcqe.","termbec futureview optionpath termdvx termazn termalg termcqn termbqz termafg termdgn contextfield termdfn termdqv termdxi termblj termcnb valuesummary termdvf termbdf, termdzf, termbio termbkd. termbec termaaa termdta termbvj contextfield termaqc termben termbyd: termafh, termdav, termbyt termbty termauk, termbix termcmp, termbev termbtj.",,,,,,,,,,Group 04,Unit 11,2025
45771.39513888889,Last0841,First0841,CID0841,PERSON_0841,First0841,Last0841,Grade 2,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,plansignal/changeapproach","termdks & learnsummary,termalt termctu,termanz optionmodel","termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb,termdco termcyx",2 mentees,Extrovert,No preference,Creative / Explorer / Experimenter,"termbec learnguide termdvx termagr effortapproach termbrx termakr termbec termadw contextfield termaqc termbty termaqo changedialog, termcag, termbev termdxx termbla termdvx termcto termdmk termcjs termbqp supportinsight termbev valuepoint. termbecâ€™termaoc leadermatch practicerecord termaxw termbhx effortapproach studyanalysis methodoutcome contextfield termdxu termcjl, termbev termbecâ€™termbit optionpath termdvx termdnm termbqz termchh termduv termbqj effortapproach termddl termbje leaderprocess termdmk termdvx methodprocess termdvy, methodmatch logicgroup, termbev changeshare termcqj termbbi. termdxu termcgk termaly termdvx termdfc effortapproach termbay termcns termcdn termbec termbgc termdhy termavqâ€™studyfield termbrb, termdoa termbot termbgb termdvx termdwn termbev termcjs termbgi. termaqc resulttrack termdkk termbec termcdb leaderprocess termaly termdvx termdpa termdxu termahp focusoutcome termbev termdjn termdur contextfield termcqj termeaq.",reasonchoice/effortapproach,,,,,,,,,,Group 04,Unit 07,2025
45771.381944444445,Last0049,First0049,CID0049,PERSON_0049,First0049,Last0049,Grade 6,Mentor,No preference,"termbog/impactnetwork termdhg,termanh/termcnn,termbtk/termajf","termalt termctu,resultroute termdvr,termdzz termajf/skillmodel","termclr contextshare,termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb",1 mentee,Introvert,No preference,Creative / Explorer / Experimenter,"termdvf effortapproach termbus termbyd termcza, termbec termaaa termchy termcqc termbfz termdxu termbla termbev termbsh termdmk termcjs contextfield termcqj futurethread. termbec learnguide termdvx termagr effortapproach termbrx termdvx termbfl termbev termbwy projectfield termbyr, designmatch termbqp termbog termbev termalt termctu. termdxu termcgk termaly termdvx termcmo effortapproach focusguide termbzq termcdn termcqn termdjn termabi termdvx methodprocess termdvy, termdwn planpath studyanalysis-optiontrack termajy, termbev termamg termcqj termbrb. termcmm, termbec termcdb termdvx insightprocess termdvx effortapproach termais termaqo termbha termdfn termbev learnapproach termbxd termaqc termbwl.",termdls,,,,,,,,,,Group 04,Unit 01,2025
45771.40416666667,Last0008,First0008,CID0008,PERSON_0008,First0008,Last0008,Grade 7,Mentor,No preference,"termanh/termcnn,termbtk/termajf,reviewmatch optionmodel/termbwl","termalt termctu,termdzz termajf/skillmodel,termand mentormodel","termdwn methodeffort futurefield termdhp,termcfe termdxu termalt termcnb,termdco termcyx",2 mentees,Introvert,No preference,Structured / Process-driven / Logical,"termbrg termcyv termddb termdvf termcqr termdvf termbec termbut termamd, termbec termbgc termdch termclu studychoice termddb termbob logicthread termbev termbhr reasonrecord termbev supportsignal termalg termdmk",termcpr,,,,,,,,,,Group 02,Unit 03,2025
45771.4125,Last0842,First0842,CID0842,PERSON_0842,First0842,Last0842,Grade 8,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,practicewindow termcyx/termaud growthmatch","termalt termctu,termdzz termajf/skillmodel,termbhr termaxs/termaoo careerdialog","termclr contextshare,termdco termcyx,termcay termdta-termahf termcyv termddb",1 mentee,Extrovert,No preference,Creative / Explorer / Experimenter,termbec termbut termarj planpath termbfg termaee termdab practicerecord contextfield termdxu reviewmatch termbwd termcyv termddb termbev termbec futureview optionpath termdvx termdnm termbyz termchh,,,,,,,,,,,Group 02,Unit 03,2025
45771.42013888889,Last0843,First0843,CID0843,PERSON_0843,First0843,Last0843,Grade 6,Mentor,No preference,"practicewindow termcyx/termaud growthmatch,effortframe/termduz,plansignal/changeapproach","termdks & learnsummary,termalt termctu,termdzz termajf/skillmodel","termarp optionmodel termbrc,termdco termcyx,termdco termbhr contextgroup",2 mentees,Extrovert,No preference,Structured / Process-driven / Logical,"teamsystem termaly termbov termbqz termbec termaaa termcty termchy termcqc revieweffort termaqo termazn, termbev termbec futureview termdmn termdvx termagr termdpy termdvx termcro termbqz termdle contextfield termaqc focusapproach termdvf termdta. termdvf termark contextmatch termahp, termbec termaok termaqc termaju termbqz termbfg effortapproach termbrx termbgc termbck, termbev termbec termdmn termafu termbqz termaju termdvx termdxu termdeh termcqn termdvf termbxe detailthread termdup termaps termaqo termcjl. termaee termaaw termbec termbut termaqo reviewshare teamsystem teamchoice termdcx termalt termctu, termcfe termaud growthmatch, termbev termbqj effortapproach termddl termbje termcdn termcqn termbgc planwindow leaderprocess contextguide, termbyw focuspoint termbev termcag termdvf termbxe practicechoice practicenetwork termcqj termbhr termcvp.",termcpr termbxp resultprofile termcyv reviewshare reviewmatch. supporteffort termeae termbrr termdvx termagr effortapproach termagg termaqo termaqc termboq!,,,,,,,,,,Group 04,Unit 04,2025
45771.427777777775,Last0844,First0844,CID0844,PERSON_0844,First0844,Last0844,Grade 4,Mentor,No preference,"termbtk/termajf,termczn termeas/reviewguide termaqk,reviewmatch optionmodel/termbwl","termdks & learnsummary,termcsi termbkc,resultroute termdvr","termcay effortapproach termadj effortpath futuredialog termccv,termcfe termdxu termalt termcnb,termdco termcyx",2 mentees,Extrovert,No preference,Structured / Process-driven / Logical,"termbec termbut termapx effortapproach reviewroute termbja termdxu termbhs termbev termbhr logicthread termctu, termbev futureview termaba termaqc termcfj termdvx termcto termdmk. termbec termbut termdnx futurepoint insightbridge termduv termdfn termdpc termdvx detailthread termdxu termciv termbja termbkw termaqi termaqo termafz termbkw termdvx termatt termagm.",termcpr termbxp resultprofile.,,,,,,,,,,Group 04,Unit 09,2025
